"CubeId";"zimoma"
"PublishingDate";"2023-11-01 14:30"

"Date";"D0";"Value"
"2009-09";"3M3";"0.54188"
"2009-09";"ESTR";
"2009-09";"EURIBOR";"0.753"
"2009-10";"SARON";"0.045043"
"2009-10";"1TGT";"0.05"
"2009-10";"EG3M";"0"
"2009-10";"3M0";"0.26183"
"2009-10";"SOFR";
"2009-10";"3M1";"0.28063"
"2009-10";"TONA";"0.112"
"2009-10";"3M2";"0.32563"
"2009-10";"SONIA";"0.4489"
"2009-10";"3M3";"0.59125"
"2009-10";"ESTR";
"2009-10";"EURIBOR";"0.72"
"2009-11";"SARON";"0.043573"
"2009-11";"1TGT";"0.05"
"2009-11";"EG3M";"0"
"2009-11";"3M0";"0.25"
"2009-11";"SOFR";
"2009-11";"3M1";"0.25656"
"2009-11";"TONA";"0.113"
"2009-11";"3M2";"0.29875"
"2009-11";"SONIA";"0.4499"
"2009-11";"3M3";"0.61188"
"2009-11";"ESTR";
"2009-11";"EURIBOR";"0.719"
"2009-12";"SARON";"0.031984"
"2009-12";"1TGT";"0.05"
"2009-12";"EG3M";"0"
"2009-12";"3M0";"0.25167"
"2009-12";"SOFR";
"2009-12";"3M1";"0.25063"
"2009-12";"TONA";"0.094"
"2009-12";"3M2";"0.2775"
"2009-12";"SONIA";"0.4434"
"2009-12";"3M3";"0.605"
"2009-12";"ESTR";
"2009-12";"EURIBOR";"0.7"
"2010-01";"SARON";"0.027068"
"2010-01";"1TGT";"0.05"
"2010-01";"EG3M";"0"
"2010-01";"3M0";"0.25"
"2010-01";"SOFR";
"2010-01";"3M1";"0.24906"
"2010-01";"TONA";"0.095"
"2010-01";"3M2";"0.255"
"2010-01";"SONIA";"0.4679"
"2010-01";"3M3";"0.61625"
"2010-01";"ESTR";
"2010-01";"EURIBOR";"0.665"
"2010-02";"SARON";"0.037635"
"2010-02";"1TGT";"0.05"
"2010-02";"EG3M";"0"
"2010-02";"3M0";"0.25"
"2010-02";"SOFR";
"2010-02";"3M1";"0.25169"
"2010-02";"TONA";"0.097"
"2010-02";"3M2";"0.25313"
"2010-02";"SONIA";"0.4708"
"2010-02";"3M3";"0.6425"
"2010-02";"ESTR";
"2010-02";"EURIBOR";"0.656"
"2010-03";"SARON";"0.052509"
"2010-03";"1TGT";"0.05"
"2010-03";"EG3M";"0"
"2010-03";"3M0";"0.24667"
"2010-03";"SOFR";
"2010-03";"3M1";"0.2915"
"2010-03";"TONA";"0.082"
"2010-03";"3M2";"0.24188"
"2010-03";"SONIA";"0.4707"
"2010-03";"3M3";"0.64719"
"2010-03";"ESTR";
"2010-03";"EURIBOR";"0.634"
"2010-04";"SARON";"0.027666"
"2010-04";"1TGT";"0.05"
"2010-04";"EG3M";"0"
"2010-04";"3M0";"0.24583"
"2010-04";"SOFR";
"2010-04";"3M1";"0.34656"
"2010-04";"TONA";"0.096"
"2010-04";"3M2";"0.24"
"2010-04";"SONIA";"0.4769"
"2010-04";"3M3";"0.67719"
"2010-04";"ESTR";
"2010-04";"EURIBOR";"0.663"
"2010-05";"SARON";"0.016089"
"2010-05";"1TGT";"0.02"
"2010-05";"EG3M";"0"
"2010-05";"3M0";"0.10833"
"2010-05";"SOFR";
"2010-05";"3M1";"0.53625"
"2010-05";"TONA";"0.089"
"2010-05";"3M2";"0.24563"
"2010-05";"SONIA";"0.4833"
"2010-05";"3M3";"0.71063"
"2010-05";"ESTR";
"2010-05";"EURIBOR";"0.701"
"2010-06";"SARON";"0.059386"
"2010-06";"1TGT";"0.03"
"2010-06";"EG3M";"0"
"2010-06";"3M0";"0.11167"
"2010-06";"SOFR";
"2010-06";"3M1";"0.53394"
"2010-06";"TONA";"0.096"
"2010-06";"3M2";"0.24438"
"2010-06";"SONIA";"0.5005"
"2010-06";"3M3";"0.73031"
"2010-06";"ESTR";
"2010-06";"EURIBOR";"0.767"
"2010-07";"SARON";"0.079548"
"2010-07";"1TGT";"0.05"
"2010-07";"EG3M";"0"
"2010-07";"3M0";"0.17167"
"2010-07";"SOFR";
"2010-07";"3M1";"0.45375"
"2010-07";"TONA";"0.098"
"2010-07";"3M2";"0.24063"
"2010-07";"SONIA";"0.4916"
"2010-07";"3M3";"0.74516"
"2010-07";"ESTR";
"2010-07";"EURIBOR";"0.896"
"2010-08";"SARON";"0.318768"
"2010-08";"1TGT";"0.08"
"2010-08";"EG3M";"0.158"
"2010-08";"3M0";"0.165"
"2010-08";"SOFR";
"2010-08";"3M1";"0.29563"
"2010-08";"TONA";"0.095"
"2010-08";"3M2";"0.23375"
"2010-08";"SONIA";"0.5007"
"2010-08";"3M3";"0.72547"
"2010-08";"ESTR";
"2010-08";"EURIBOR";"0.886"
"2010-09";"SARON";"0.093595"
"2010-09";"1TGT";"0.08"
"2010-09";"EG3M";"0.079"
"2010-09";"3M0";"0.17833"
"2010-09";"SOFR";
"2010-09";"3M1";"0.29"
"2010-09";"TONA";"0.113"
